"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"EES4760_HW5_ex_5_4.nlogox"
"Hilltop stopping q experiment"
"09/16/2026 22:43:29:507 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","149","0","149"
"[run number]","q","random-start","stop-at-hilltop","noise","real-elevation","[step]","clumping","corridor-width"
"6","0.5","true","true","false","true","0","6.684","<RuntimePrimitiveException>"
"2","0.1","true","true","false","true","0","6.52","<RuntimePrimitiveException>"
"4","0.3","true","true","false","true","0","6.404","<RuntimePrimitiveException>"
"8","0.7","true","true","false","true","0","6.676","<RuntimePrimitiveException>"
"5","0.4","true","true","false","true","0","6.744","<RuntimePrimitiveException>"
"9","0.8","true","true","false","true","0","6.432","<RuntimePrimitiveException>"
"3","0.2","true","true","false","true","0","6.348","<RuntimePrimitiveException>"
"7","0.6","true","true","false","true","0","6.812","<RuntimePrimitiveException>"
"1","0","true","true","false","true","0","6.908","<RuntimePrimitiveException>"
"3","0.2","true","true","false","true","1","6.476","404.75554795487847"
"5","0.4","true","true","false","true","1","6.612","393.17906498794287"
"7","0.6","true","true","false","true","1","6.884","389.34162494595245"
"8","0.7","true","true","false","true","1","6.644","383.6431751603302"
"6","0.5","true","true","false","true","1","6.752","393.80853164430425"
"9","0.8","true","true","false","true","1","6.524","379.0330244984258"
"4","0.3","true","true","false","true","1","6.3","401.5160461472263"
"2","0.1","true","true","false","true","1","6.508","401.50710650271145"
"3","0.2","true","true","false","true","2","6.48","595.5317173601436"
"7","0.6","true","true","false","true","2","6.936","507.85440797509324"
"8","0.7","true","true","false","true","2","6.8","465.56485144105716"
"9","0.8","true","true","false","true","2","6.612","444.5541995990583"
"1","0","true","true","false","true","1","6.848","411.78706170857424"
"4","0.3","true","true","false","true","2","6.42","584.2344406532295"
"3","0.2","true","true","false","true","3","6.428","689.9112750126576"
"5","0.4","true","true","false","true","2","6.704","564.4073076238411"
"2","0.1","true","true","false","true","2","6.452","629.4335194399708"
"6","0.5","true","true","false","true","2","6.752","547.2148457250572"
"7","0.6","true","true","false","true","3","6.988","533.9463354918115"
"8","0.7","true","true","false","true","3","6.916","485.92298195166546"
"9","0.8","true","true","false","true","3","6.612","444.49729628334086"
"7","0.6","true","true","false","true","4","7.064","555.5288021103495"
"5","0.4","true","true","false","true","3","6.68","619.4730398712629"
"2","0.1","true","true","false","true","3","6.476","705.4265539811627"
"8","0.7","true","true","false","true","4","6.908","495.1741745424461"
"1","0","true","true","false","true","2","6.92","591.3445590176128"
"4","0.3","true","true","false","true","3","6.476","645.8739552375773"
"3","0.2","true","true","false","true","4","6.384","747.9359146671507"
"6","0.5","true","true","false","true","3","6.896","588.9113250974999"
"9","0.8","true","true","false","true","4","6.664","451.334384616626"
"7","0.6","true","true","false","true","5","7.228","557.2386841110567"
"8","0.7","true","true","false","true","5","7","500.62553747087094"
"5","0.4","true","true","false","true","4","6.704","658.811746935102"
"2","0.1","true","true","false","true","4","6.492","780.901679034253"
"3","0.2","true","true","false","true","5","6.344","799.7284513746376"
"1","0","true","true","false","true","3","6.904","685.2211704451232"
"6","0.5","true","true","false","true","4","6.888","612.6911730698655"
"4","0.3","true","true","false","true","4","6.5","706.1909502949459"
"7","0.6","true","true","false","true","6","7.272","555.3345892892281"
"9","0.8","true","true","false","true","5","6.94","444.78474532773413"
"8","0.7","true","true","false","true","6","7.028","500.76679739115133"
"5","0.4","true","true","false","true","5","6.74","671.2455529807199"
"2","0.1","true","true","false","true","5","6.404","851.8640580116962"
"3","0.2","true","true","false","true","6","6.392","837.423854299424"
"7","0.6","true","true","false","true","7","7.432","561.7211462181835"
"6","0.5","true","true","false","true","5","6.94","624.4580058409833"
"4","0.3","true","true","false","true","5","6.468","744.8140407770694"
"9","0.8","true","true","false","true","6","6.948","441.5415793805585"
"8","0.7","true","true","false","true","7","7.076","494.0468901769381"
"1","0","true","true","false","true","4","6.856","762.8120218064774"
"2","0.1","true","true","false","true","6","6.376","885.6534423965734"
"3","0.2","true","true","false","true","7","6.336","872.0667868377303"
"5","0.4","true","true","false","true","6","6.796","691.8003101016003"
"7","0.6","true","true","false","true","8","7.56","555.7340696693045"
"8","0.7","true","true","false","true","8","7.244","481.7162005349982"
"9","0.8","true","true","false","true","7","7.048","438.2303161498531"
"4","0.3","true","true","false","true","6","6.648","760.886719098503"
"6","0.5","true","true","false","true","6","6.968","637.1679854204706"
"3","0.2","true","true","false","true","8","6.392","900.7484398809356"
"1","0","true","true","false","true","5","6.744","844.9551557671083"
"2","0.1","true","true","false","true","7","6.472","937.9870584909853"
"5","0.4","true","true","false","true","7","6.892","712.5226347434984"
"7","0.6","true","true","false","true","9","7.652","548.3455285404189"
"8","0.7","true","true","false","true","9","7.48","472.5535662630996"
"3","0.2","true","true","false","true","9","6.428","920.7196555349312"
"6","0.5","true","true","false","true","7","7.12","632.897299281882"
"9","0.8","true","true","false","true","8","7.196","435.95691725661635"
"4","0.3","true","true","false","true","7","6.544","786.3656139812151"
"5","0.4","true","true","false","true","8","6.836","715.0764712568847"
"2","0.1","true","true","false","true","8","6.312","968.4351556039938"
"7","0.6","true","true","false","true","10","7.708","540.6089874325702"
"1","0","true","true","false","true","6","6.84","891.8647996292916"
"8","0.7","true","true","false","true","10","7.576","467.89358916611076"
"6","0.5","true","true","false","true","8","7.244","628.8229941465293"
"4","0.3","true","true","false","true","8","6.668","806.061308838632"
"9","0.8","true","true","false","true","9","7.224","429.41345883666276"
"3","0.2","true","true","false","true","10","6.376","948.7078289121396"
"2","0.1","true","true","false","true","9","6.248","982.2914506675413"
"7","0.6","true","true","false","true","11","7.82","537.9860057425217"
"1","0","true","true","false","true","7","6.864","923.9350882701527"
"8","0.7","true","true","false","true","11","7.744","462.11287037493173"
"5","0.4","true","true","false","true","9","6.924","718.8567264059062"
"3","0.2","true","true","false","true","11","6.484","976.3983445204033"
"6","0.5","true","true","false","true","9","7.24","626.807454429289"
"9","0.8","true","true","false","true","10","7.476","421.23303247469994"
"4","0.3","true","true","false","true","9","6.64","808.4003770909956"
"7","0.6","true","true","false","true","12","7.896","533.3800667757099"
"2","0.1","true","true","false","true","10","6.42","1010.2838414484919"
"5","0.4","true","true","false","true","10","7.092","727.2326065726014"
"8","0.7","true","true","false","true","12","7.728","456.2430712751002"
"1","0","true","true","false","true","8","6.78","975.6682922992126"
"3","0.2","true","true","false","true","12","6.516","977.1734078612025"
"7","0.6","true","true","false","true","13","8.06","527.909736988486"
"8","0.7","true","true","false","true","13","7.764","453.5532897131973"
"6","0.5","true","true","false","true","10","7.344","627.1813152695065"
"5","0.4","true","true","false","true","11","7.188","726.7634818534685"
"9","0.8","true","true","false","true","11","7.636","415.89041034771367"
"2","0.1","true","true","false","true","11","6.528","1030.29586053054"
